@relation generateddata

@attribute cur_hour_of_day numeric
@attribute cur_min_of_hour numeric
@attribute cur_day_of_week numeric
@attribute charge_iRobot_651_battery numeric
@attribute charge_Tesla_S_battery numeric
@attribute water_temp_water_heat_sensor numeric
@attribute temperature_cool_thermostat_cool numeric
@attribute bake_Kenmore_790_sensor numeric
@attribute dish_wash_Kenmore_665_sensor numeric
@attribute laundry_wash_GE_WSM2420D3WW_wash_sensor numeric
@attribute laundry_dry_GE_WSM2420D3WW_dry_sensor numeric
@attribute temperature_heat_thermostat_heat numeric
@attribute cleanliness_dust_sensor numeric
@attribute action {cool,off,heat,regular,wash,bake,charge,vacuum,charge_48a,charge_72a}
@attribute device {Bryant_697CN030B,Dyson_AM09,GE_WSM2420D3WW_dry,GE_WSM2420D3WW_wash,Kenmore_665.13242K900,Kenmore_790.91312013,Rheem_XE40M12ST45U1,Roomba_880,Tesla_S}
@data

0,0,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Bryant_697CN030B
0,1,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Bryant_697CN030B
0,2,0,70.0,30.23,49.88,18.01,0.0,1.0,1.0,0.0,17.99,0.0,off,Bryant_697CN030B
0,3,0,70.0,30.45,49.76,18.02,0.0,2.0,2.0,0.0,17.98,0.0,off,Bryant_697CN030B
0,4,0,70.0,30.68,49.65,18.03,0.0,3.0,3.0,0.0,17.97,0.0,off,Bryant_697CN030B
0,5,0,70.0,30.9,49.53,18.04,0.0,4.0,4.0,0.0,17.96,0.0,off,Bryant_697CN030B
0,6,0,70.0,31.13,49.41,18.05,0.0,5.0,5.0,0.0,17.95,0.0,off,Bryant_697CN030B
0,7,0,70.0,31.36,49.29,18.06,0.0,6.0,6.0,0.0,17.94,0.0,off,Bryant_697CN030B
0,8,0,70.0,31.58,49.17,18.07,0.0,7.0,7.0,0.0,17.93,0.0,off,Bryant_697CN030B
0,9,0,70.0,31.81,49.05,18.08,0.0,8.0,8.0,0.0,17.92,0.0,off,Bryant_697CN030B
0,10,0,70.0,32.03,48.94,18.09,0.0,9.0,9.0,0.0,17.91,0.0,off,Bryant_697CN030B
0,11,0,70.0,32.26,48.82,18.1,0.0,10.0,10.0,0.0,17.9,0.0,off,Bryant_697CN030B
0,12,0,70.0,32.49,48.7,18.11,0.0,11.0,11.0,0.0,17.89,0.0,off,Bryant_697CN030B
0,13,0,70.0,32.71,48.58,18.12,0.0,12.0,12.0,0.0,17.88,0.0,off,Bryant_697CN030B
0,14,0,70.0,32.94,48.46,18.13,0.0,13.0,13.0,0.0,17.87,0.0,off,Bryant_697CN030B
0,15,0,70.0,33.16,48.34,18.14,0.0,14.0,14.0,0.0,17.86,0.0,off,Bryant_697CN030B
0,16,0,70.0,33.39,48.23,18.15,0.0,15.0,15.0,0.0,17.85,0.0,off,Bryant_697CN030B
0,17,0,70.0,33.62,48.11,18.16,0.0,16.0,16.0,0.0,17.84,0.0,off,Bryant_697CN030B
0,18,0,70.0,33.84,47.99,18.17,0.0,17.0,17.0,0.0,17.83,0.0,off,Bryant_697CN030B
0,19,0,70.0,34.07,47.87,18.18,0.0,18.0,18.0,0.0,17.82,0.0,off,Bryant_697CN030B
0,20,0,70.0,34.29,47.75,18.19,0.0,19.0,19.0,0.0,17.81,0.0,off,Bryant_697CN030B
0,21,0,70.0,34.52,47.63,18.2,0.0,20.0,20.0,0.0,17.8,0.0,off,Bryant_697CN030B
0,22,0,70.0,34.75,47.52,18.21,0.0,21.0,21.0,0.0,17.79,0.0,off,Bryant_697CN030B
0,23,0,70.0,34.97,47.4,18.22,0.0,22.0,22.0,0.0,17.78,0.0,off,Bryant_697CN030B
0,24,0,70.0,35.2,47.28,18.23,0.0,23.0,23.0,0.0,17.77,0.0,off,Bryant_697CN030B
0,25,0,70.0,35.42,47.16,18.24,0.0,24.0,24.0,0.0,17.76,0.0,off,Bryant_697CN030B
0,26,0,70.0,35.65,47.04,18.25,0.0,25.0,25.0,0.0,17.75,0.0,off,Bryant_697CN030B
0,27,0,70.0,35.88,46.92,18.26,0.0,26.0,26.0,0.0,17.74,0.0,off,Bryant_697CN030B
0,28,0,70.0,36.1,46.81,18.27,0.0,27.0,27.0,0.0,17.73,0.0,off,Bryant_697CN030B
0,29,0,70.0,36.33,46.69,18.28,0.0,28.0,28.0,0.0,17.72,0.0,off,Bryant_697CN030B
0,30,0,70.0,36.55,46.57,18.29,0.0,29.0,29.0,0.0,17.71,0.0,off,Bryant_697CN030B
0,31,0,70.0,36.78,46.45,18.29,0.0,30.0,30.0,0.0,17.71,0.0,off,Bryant_697CN030B
0,32,0,70.0,37.01,46.33,18.3,0.0,31.0,31.0,0.0,17.7,0.0,off,Bryant_697CN030B
0,33,0,70.0,37.23,46.21,18.31,0.0,32.0,32.0,0.0,17.69,0.0,off,Bryant_697CN030B
0,34,0,70.0,37.46,46.1,18.32,0.0,33.0,33.0,0.0,17.68,0.0,off,Bryant_697CN030B
0,35,0,70.0,37.68,45.98,18.33,0.0,34.0,34.0,0.0,17.67,0.0,off,Bryant_697CN030B
0,36,0,70.0,37.91,45.86,18.34,0.0,35.0,35.0,0.0,17.66,0.0,off,Bryant_697CN030B
0,37,0,70.0,38.14,45.74,18.35,0.0,36.0,36.0,0.0,17.65,0.0,off,Bryant_697CN030B
0,38,0,70.0,38.36,45.62,18.36,0.0,37.0,37.0,0.0,17.64,0.0,off,Bryant_697CN030B
0,39,0,70.0,38.59,45.5,18.37,0.0,38.0,38.0,0.0,17.63,0.0,off,Bryant_697CN030B
0,40,0,70.0,38.81,45.39,18.38,0.0,39.0,39.0,0.0,17.62,0.0,off,Bryant_697CN030B
0,41,0,70.0,39.04,45.27,18.39,0.0,40.0,40.0,0.0,17.61,0.0,off,Bryant_697CN030B
0,42,0,70.0,39.27,45.15,18.4,0.0,41.0,41.0,0.0,17.6,0.0,off,Bryant_697CN030B
0,43,0,70.0,39.49,45.03,18.41,0.0,42.0,42.0,0.0,17.59,0.0,off,Bryant_697CN030B
0,44,0,70.0,39.72,44.91,18.42,0.0,43.0,43.0,0.0,17.58,0.0,off,Bryant_697CN030B
0,45,0,70.0,39.94,44.79,18.43,0.0,44.0,44.0,0.0,17.57,0.0,off,Bryant_697CN030B
0,46,0,70.0,40.17,44.68,18.44,0.0,45.0,45.0,0.0,17.56,0.0,off,Bryant_697CN030B
0,47,0,70.0,40.4,44.56,18.45,0.0,45.0,45.0,0.0,17.55,0.0,off,Bryant_697CN030B
0,48,0,70.0,40.62,44.44,18.46,0.0,45.0,45.0,0.0,17.54,0.0,off,Bryant_697CN030B
0,49,0,70.0,40.85,44.32,18.47,0.0,45.0,45.0,0.0,17.53,0.0,off,Bryant_697CN030B
0,50,0,70.0,41.07,44.2,18.48,0.0,45.0,45.0,0.0,17.52,0.0,off,Bryant_697CN030B
0,51,0,70.0,41.3,44.08,18.49,0.0,45.0,45.0,0.0,17.51,0.0,off,Bryant_697CN030B
0,52,0,70.0,41.53,43.97,18.5,0.0,45.0,45.0,0.0,17.5,0.0,off,Bryant_697CN030B
0,53,0,70.0,41.75,43.85,18.51,0.0,45.0,45.0,0.0,17.49,0.0,off,Bryant_697CN030B
0,54,0,70.0,41.98,43.73,18.52,0.0,45.0,45.0,0.0,17.48,0.0,off,Bryant_697CN030B
0,55,0,70.0,42.2,43.61,18.53,0.0,45.0,45.0,0.0,17.47,0.0,off,Bryant_697CN030B
0,56,0,70.0,42.43,43.49,18.54,0.0,45.0,45.0,0.0,17.46,0.0,off,Bryant_697CN030B
0,57,0,70.0,42.66,43.37,18.55,0.0,45.0,45.0,0.0,17.45,0.0,off,Bryant_697CN030B
0,58,0,70.0,42.88,43.26,18.56,0.0,45.0,45.0,0.0,17.44,0.0,off,Bryant_697CN030B
0,59,0,70.0,43.11,43.14,18.57,0.0,45.0,45.0,0.0,17.43,0.0,off,Bryant_697CN030B
1,0,0,70.0,43.33,43.02,18.58,0.0,45.0,45.0,0.0,17.42,0.0,off,Bryant_697CN030B
1,1,0,70.0,43.56,42.9,18.59,0.0,45.0,45.0,0.0,17.41,0.0,off,Bryant_697CN030B
1,2,0,70.0,43.79,42.78,18.6,0.0,45.0,45.0,0.0,17.4,0.0,off,Bryant_697CN030B
1,3,0,70.0,44.01,42.66,18.61,0.0,45.0,45.0,0.0,17.39,0.0,off,Bryant_697CN030B
1,4,0,70.0,44.24,42.55,18.62,0.0,45.0,45.0,0.0,17.38,0.0,off,Bryant_697CN030B
1,5,0,70.0,44.46,42.43,18.63,0.0,45.0,45.0,0.0,17.37,0.0,off,Bryant_697CN030B
1,6,0,70.0,44.69,42.31,18.64,0.0,45.0,45.0,0.0,17.36,0.0,off,Bryant_697CN030B
1,7,0,70.0,44.92,42.19,18.65,0.0,45.0,45.0,0.0,17.35,0.0,off,Bryant_697CN030B
1,8,0,70.0,45.14,42.07,18.66,0.0,45.0,45.0,0.0,17.34,0.0,off,Bryant_697CN030B
1,9,0,70.0,45.37,41.95,18.67,0.0,45.0,45.0,0.0,17.33,0.0,off,Bryant_697CN030B
1,10,0,70.0,45.59,41.84,18.68,0.0,45.0,45.0,0.0,17.32,0.0,off,Bryant_697CN030B
1,11,0,70.0,45.82,41.72,18.69,0.0,45.0,45.0,0.0,17.31,0.0,off,Bryant_697CN030B
1,12,0,70.0,46.05,41.6,18.7,0.0,45.0,45.0,0.0,17.3,0.0,off,Bryant_697CN030B
1,13,0,70.0,46.27,41.48,18.71,0.0,45.0,45.0,0.0,17.29,0.0,off,Bryant_697CN030B
1,14,0,70.0,46.5,41.36,18.72,0.0,45.0,45.0,0.0,17.28,0.0,off,Bryant_697CN030B
1,15,0,70.0,46.72,41.24,18.73,0.0,45.0,45.0,0.0,17.27,0.0,off,Bryant_697CN030B
1,16,0,70.0,46.95,41.13,18.74,0.0,45.0,45.0,0.0,17.26,0.0,off,Bryant_697CN030B
1,17,0,70.0,47.18,41.01,18.75,0.0,45.0,45.0,0.0,17.25,0.0,off,Bryant_697CN030B
1,18,0,70.0,47.4,40.89,18.76,0.0,45.0,45.0,0.0,17.24,0.0,off,Bryant_697CN030B
1,19,0,70.0,47.63,40.77,18.77,0.0,45.0,45.0,0.0,17.23,0.0,off,Bryant_697CN030B
1,20,0,70.0,47.85,40.65,18.78,0.0,45.0,45.0,0.0,17.22,0.0,off,Bryant_697CN030B
1,21,0,70.0,48.08,40.53,18.79,0.0,45.0,45.0,0.0,17.21,0.0,off,Bryant_697CN030B
1,22,0,70.0,48.31,40.42,18.8,0.0,45.0,45.0,0.0,17.2,0.0,off,Bryant_697CN030B
1,23,0,70.0,48.53,40.3,18.81,0.0,45.0,45.0,0.0,17.19,0.0,off,Bryant_697CN030B
1,24,0,70.0,48.76,40.18,18.82,0.0,45.0,45.0,0.0,17.18,0.0,off,Bryant_697CN030B
1,25,0,70.0,48.98,40.06,18.83,0.0,45.0,45.0,0.0,17.17,0.0,off,Bryant_697CN030B
1,26,0,70.0,49.21,39.94,18.84,0.0,45.0,45.0,0.0,17.16,0.0,off,Bryant_697CN030B
1,27,0,70.0,49.44,39.82,18.85,0.0,45.0,45.0,0.0,17.15,0.0,off,Bryant_697CN030B
1,28,0,70.0,49.66,39.71,18.86,0.0,45.0,45.0,0.0,17.14,0.0,off,Bryant_697CN030B
1,29,0,70.0,49.89,39.59,18.87,0.0,45.0,45.0,0.0,17.13,0.0,off,Bryant_697CN030B
1,30,0,70.0,50.11,39.47,18.88,0.0,45.0,45.0,0.0,17.12,0.0,off,Bryant_697CN030B
1,31,0,70.0,50.34,39.35,18.88,0.0,45.0,45.0,0.0,17.12,0.0,off,Bryant_697CN030B
1,32,0,70.0,50.57,39.23,18.89,0.0,45.0,45.0,0.0,17.11,0.0,off,Bryant_697CN030B
1,33,0,70.0,50.79,39.11,18.9,0.0,45.0,45.0,0.0,17.1,0.0,off,Bryant_697CN030B
1,34,0,70.0,51.02,39.0,18.91,0.0,45.0,45.0,0.0,17.09,0.0,off,Bryant_697CN030B
1,35,0,70.0,51.24,38.88,18.92,0.0,45.0,45.0,0.0,17.08,0.0,off,Bryant_697CN030B
1,36,0,70.0,51.47,38.76,18.93,0.0,45.0,45.0,0.0,17.07,0.0,off,Bryant_697CN030B
1,37,0,70.0,51.7,38.64,18.94,0.0,45.0,45.0,0.0,17.06,0.0,off,Bryant_697CN030B
1,38,0,70.0,51.92,38.52,18.95,0.0,45.0,45.0,0.0,17.05,0.0,off,Bryant_697CN030B
1,39,0,70.0,52.15,38.4,18.96,0.0,45.0,45.0,0.0,17.04,0.0,off,Bryant_697CN030B
1,40,0,70.0,52.37,38.29,18.97,0.0,45.0,45.0,0.0,17.03,0.0,off,Bryant_697CN030B
1,41,0,70.0,52.6,38.17,18.98,0.0,45.0,45.0,0.0,17.02,0.0,off,Bryant_697CN030B
1,42,0,70.0,52.83,38.05,18.99,0.0,45.0,45.0,0.0,17.01,0.0,off,Bryant_697CN030B
1,43,0,70.0,53.05,37.93,19.0,0.0,45.0,45.0,0.0,17.0,0.0,off,Bryant_697CN030B
1,44,0,70.0,53.28,37.81,19.01,0.0,45.0,45.0,0.0,16.99,0.0,off,Bryant_697CN030B
1,45,0,70.0,53.5,37.69,19.02,0.0,45.0,45.0,0.0,16.98,0.0,off,Bryant_697CN030B
1,46,0,70.0,53.73,37.58,19.03,0.0,45.0,45.0,0.0,16.97,0.0,off,Bryant_697CN030B
1,47,0,70.0,53.96,37.46,19.04,0.0,45.0,45.0,0.0,16.96,0.0,off,Bryant_697CN030B
1,48,0,70.0,54.18,37.34,19.05,0.0,45.0,45.0,0.0,16.95,0.0,off,Bryant_697CN030B
1,49,0,70.0,54.41,37.22,19.06,0.0,45.0,45.0,0.0,16.94,0.0,off,Bryant_697CN030B
1,50,0,70.0,54.63,37.1,19.07,0.0,45.0,45.0,0.0,16.93,0.0,off,Bryant_697CN030B
1,51,0,70.0,54.86,36.98,19.08,0.0,45.0,45.0,0.0,16.92,0.0,off,Bryant_697CN030B
