@relation generateddata

@attribute cur_hour_of_day numeric
@attribute cur_min_of_hour numeric
@attribute cur_day_of_week numeric
@attribute charge_iRobot_651_battery numeric
@attribute charge_Tesla_S_battery numeric
@attribute water_temp_water_heat_sensor numeric
@attribute temperature_cool_thermostat_cool numeric
@attribute bake_Kenmore_790_sensor numeric
@attribute dish_wash_Kenmore_665_sensor numeric
@attribute laundry_wash_GE_WSM2420D3WW_wash_sensor numeric
@attribute laundry_dry_GE_WSM2420D3WW_dry_sensor numeric
@attribute temperature_heat_thermostat_heat numeric
@attribute cleanliness_dust_sensor numeric
@attribute action {cool,off,heat,regular,wash,bake,charge,vacuum,charge_48a,charge_72a}
@attribute device {Bryant_697CN030B,Dyson_AM09,GE_WSM2420D3WW_dry,GE_WSM2420D3WW_wash,Kenmore_665.13242K900,Kenmore_790.91312013,Rheem_XE40M12ST45U1,Roomba_880,Tesla_S}
@data

0,0,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,1,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,2,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,3,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,4,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,5,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,6,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,7,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,8,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,9,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
0,10,0,70.0,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Kenmore_790.91312013
