@relation generateddata

@attribute cur_hour_of_day numeric
@attribute cur_min_of_hour numeric
@attribute cur_day_of_week numeric
@attribute charge_iRobot_651_battery numeric
@attribute charge_Tesla_S_battery numeric
@attribute water_temp_water_heat_sensor numeric
@attribute temperature_cool_thermostat_cool numeric
@attribute bake_Kenmore_790_sensor numeric
@attribute dish_wash_Kenmore_665_sensor numeric
@attribute laundry_wash_GE_WSM2420D3WW_wash_sensor numeric
@attribute laundry_dry_GE_WSM2420D3WW_dry_sensor numeric
@attribute temperature_heat_thermostat_heat numeric
@attribute cleanliness_dust_sensor numeric
@attribute action {cool,off,heat,regular,wash,bake,charge,vacuum,charge_48a,charge_72a}
@attribute device {Bryant_697CN030B,Dyson_AM09,GE_WSM2420D3WW_dry,GE_WSM2420D3WW_wash,Kenmore_665.13242K900,Kenmore_790.91312013,Rheem_XE40M12ST45U1,Roomba_880,Tesla_S}
@data

0,0,0,70.69,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Bryant_697CN030B
0,1,0,70.69,30.0,50.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,off,Bryant_697CN030B
0,2,0,71.39,30.23,49.88,18.01,0.0,1.0,1.0,0.0,17.99,0.0,off,Bryant_697CN030B
0,3,0,72.08,30.45,49.76,18.02,0.0,2.0,2.0,0.0,17.98,0.0,off,Bryant_697CN030B
0,4,0,72.78,30.68,49.65,18.03,0.0,3.0,3.0,0.0,17.97,0.0,off,Bryant_697CN030B
0,5,0,73.47,30.9,49.53,18.04,0.0,4.0,4.0,0.0,17.96,0.0,off,Bryant_697CN030B
0,6,0,74.16,31.13,49.41,18.05,0.0,5.0,5.0,0.0,17.95,0.0,off,Bryant_697CN030B
0,7,0,74.86,31.36,49.29,18.06,0.0,6.0,6.0,0.0,17.94,0.0,off,Bryant_697CN030B
0,8,0,75.55,31.58,49.17,18.07,0.0,7.0,7.0,0.0,17.93,0.0,off,Bryant_697CN030B
0,9,0,76.25,31.81,49.05,18.08,0.0,8.0,8.0,0.0,17.92,0.0,off,Bryant_697CN030B
0,10,0,76.94,32.03,48.94,18.09,0.0,9.0,9.0,0.0,17.91,0.0,off,Bryant_697CN030B
0,11,0,77.63,32.26,48.82,18.1,0.0,10.0,10.0,0.0,17.9,0.0,off,Bryant_697CN030B
0,12,0,78.33,32.49,48.7,18.11,0.0,11.0,11.0,0.0,17.89,0.0,off,Bryant_697CN030B
0,13,0,79.02,32.71,48.58,18.12,0.0,12.0,12.0,0.0,17.88,0.0,off,Bryant_697CN030B
0,14,0,79.72,32.94,48.46,18.13,0.0,13.0,13.0,0.0,17.87,0.0,off,Bryant_697CN030B
0,15,0,80.41,33.16,48.34,18.14,0.0,14.0,14.0,0.0,17.86,0.0,off,Bryant_697CN030B
0,16,0,81.1,33.39,48.23,18.15,0.0,15.0,15.0,0.0,17.85,0.0,off,Bryant_697CN030B
0,17,0,81.8,33.62,48.11,18.16,0.0,16.0,16.0,0.0,17.84,0.0,off,Bryant_697CN030B
0,18,0,82.49,33.84,47.99,18.17,0.0,17.0,17.0,0.0,17.83,0.0,off,Bryant_697CN030B
0,19,0,83.19,34.07,47.87,18.18,0.0,18.0,18.0,0.0,17.82,0.0,off,Bryant_697CN030B
0,20,0,83.88,34.29,47.75,18.19,0.0,19.0,19.0,0.0,17.81,0.0,off,Bryant_697CN030B
0,21,0,84.57,34.52,47.63,18.2,0.0,20.0,20.0,0.0,17.8,0.0,off,Bryant_697CN030B
0,22,0,85.27,34.75,47.52,18.21,0.0,21.0,21.0,0.0,17.79,0.0,off,Bryant_697CN030B
0,23,0,85.96,34.97,47.4,18.22,0.0,22.0,22.0,0.0,17.78,0.0,off,Bryant_697CN030B
0,24,0,86.66,35.2,47.28,18.23,0.0,23.0,23.0,0.0,17.77,0.0,off,Bryant_697CN030B
0,25,0,87.35,35.42,47.16,18.24,0.0,24.0,24.0,0.0,17.76,0.0,off,Bryant_697CN030B
0,26,0,88.04,35.65,47.04,18.25,0.0,25.0,25.0,0.0,17.75,0.0,off,Bryant_697CN030B
0,27,0,88.74,35.88,46.92,18.26,0.0,26.0,26.0,0.0,17.74,0.0,off,Bryant_697CN030B
0,28,0,89.43,36.1,46.81,18.27,0.0,27.0,27.0,0.0,17.73,0.0,off,Bryant_697CN030B
0,29,0,90.13,36.33,46.69,18.28,0.0,28.0,28.0,0.0,17.72,0.0,off,Bryant_697CN030B
0,30,0,89.92,36.55,46.57,18.29,0.0,29.0,29.0,0.0,17.71,0.68,off,Bryant_697CN030B
0,31,0,90.61,36.78,46.45,18.29,0.0,30.0,30.0,0.0,17.71,0.68,off,Bryant_697CN030B
0,32,0,90.4,37.01,46.33,18.3,0.0,31.0,31.0,0.0,17.7,1.35,off,Bryant_697CN030B
0,33,0,90.19,37.23,46.21,18.31,0.0,32.0,32.0,0.0,17.69,2.03,off,Bryant_697CN030B
0,34,0,89.98,37.46,46.1,18.32,0.0,33.0,33.0,0.0,17.68,2.7,off,Bryant_697CN030B
0,35,0,90.67,37.68,45.98,18.33,0.0,34.0,34.0,0.0,17.67,2.7,off,Bryant_697CN030B
0,36,0,90.46,37.91,45.86,18.34,0.0,35.0,35.0,0.0,17.66,3.38,off,Bryant_697CN030B
0,37,0,90.25,38.14,45.74,18.35,0.0,36.0,36.0,0.0,17.65,4.06,off,Bryant_697CN030B
0,38,0,90.04,38.36,45.62,18.36,0.0,37.0,37.0,0.0,17.64,4.73,off,Bryant_697CN030B
0,39,0,89.83,38.59,45.5,18.37,0.0,38.0,38.0,0.0,17.63,5.41,off,Bryant_697CN030B
0,40,0,90.53,38.81,45.39,18.38,0.0,39.0,39.0,0.0,17.62,5.41,off,Bryant_697CN030B
0,41,0,90.32,39.04,45.27,18.39,0.0,40.0,40.0,0.0,17.61,6.08,off,Bryant_697CN030B
0,42,0,90.11,39.27,45.15,18.4,0.0,41.0,41.0,0.0,17.6,6.76,off,Bryant_697CN030B
0,43,0,89.9,39.49,45.03,18.41,0.0,42.0,42.0,0.0,17.59,7.44,off,Bryant_697CN030B
0,44,0,90.59,39.72,44.91,18.42,0.0,43.0,43.0,0.0,17.58,7.44,off,Bryant_697CN030B
0,45,0,90.38,39.94,44.79,18.43,0.0,44.0,44.0,0.0,17.57,8.11,off,Bryant_697CN030B
0,46,0,90.17,40.17,44.68,18.44,0.0,45.0,45.0,0.0,17.56,8.79,off,Bryant_697CN030B
0,47,0,89.96,40.4,44.56,18.45,0.0,46.0,46.0,0.0,17.55,9.46,off,Bryant_697CN030B
0,48,0,90.66,40.62,44.44,18.46,0.0,47.0,47.0,0.0,17.54,9.46,off,Bryant_697CN030B
0,49,0,90.45,40.85,44.32,18.47,0.0,48.0,48.0,0.0,17.53,10.14,off,Bryant_697CN030B
0,50,0,90.24,41.07,44.2,18.48,0.0,49.0,49.0,0.0,17.52,10.82,off,Bryant_697CN030B
0,51,0,90.03,41.3,44.08,18.49,0.0,50.0,50.0,0.0,17.51,11.49,off,Bryant_697CN030B
0,52,0,89.82,41.53,43.97,18.5,0.0,51.0,51.0,0.0,17.5,12.17,off,Bryant_697CN030B
0,53,0,90.51,41.75,43.85,18.51,0.0,52.0,52.0,0.0,17.49,12.17,off,Bryant_697CN030B
0,54,0,90.3,41.98,43.73,18.52,0.0,53.0,53.0,0.0,17.48,12.84,off,Bryant_697CN030B
0,55,0,90.09,42.2,43.61,18.53,0.0,54.0,54.0,0.0,17.47,13.52,off,Bryant_697CN030B
0,56,0,89.88,42.43,43.49,18.54,0.0,55.0,55.0,0.0,17.46,14.2,off,Bryant_697CN030B
0,57,0,90.57,42.66,43.37,18.55,0.0,56.0,56.0,0.0,17.45,14.2,off,Bryant_697CN030B
0,58,0,90.36,42.88,43.26,18.56,0.0,57.0,57.0,0.0,17.44,14.87,off,Bryant_697CN030B
0,59,0,90.15,43.11,43.14,18.57,0.0,58.0,58.0,0.0,17.43,15.55,off,Bryant_697CN030B
1,0,0,89.94,43.33,43.02,18.58,0.0,59.0,59.0,0.0,17.42,16.22,off,Bryant_697CN030B
1,1,0,90.64,43.56,42.9,18.59,0.0,60.0,60.0,0.0,17.41,16.22,off,Bryant_697CN030B
1,2,0,90.43,43.79,42.78,18.6,0.0,60.0,60.0,0.0,17.4,16.9,off,Bryant_697CN030B
1,3,0,90.22,44.01,42.66,18.61,0.0,60.0,60.0,0.0,17.57,17.58,off,Bryant_697CN030B
1,4,0,90.01,44.24,42.55,18.62,0.0,60.0,60.0,0.0,17.74,18.25,off,Bryant_697CN030B
1,5,0,89.8,44.46,42.43,18.63,0.0,60.0,60.0,0.0,17.91,18.93,off,Bryant_697CN030B
1,6,0,90.49,44.69,42.31,18.64,0.0,60.0,60.0,0.0,18.07,18.93,off,Bryant_697CN030B
1,7,0,90.28,44.92,42.19,18.65,0.0,60.0,60.0,0.0,18.24,19.6,off,Bryant_697CN030B
1,8,0,90.07,45.14,42.07,18.66,0.0,60.0,60.0,0.0,18.41,20.28,off,Bryant_697CN030B
1,9,0,89.86,45.37,41.95,18.67,0.0,60.0,60.0,0.0,18.58,20.96,off,Bryant_697CN030B
1,10,0,90.56,45.59,41.84,18.68,0.0,60.0,60.0,0.0,18.75,20.96,off,Bryant_697CN030B
1,11,0,90.35,45.82,41.72,18.69,0.0,60.0,60.0,0.0,18.92,21.63,off,Bryant_697CN030B
1,12,0,90.14,46.05,41.6,18.7,0.0,60.0,60.0,0.0,19.08,22.31,off,Bryant_697CN030B
1,13,0,89.93,46.27,41.48,18.71,0.0,60.0,60.0,0.0,19.25,22.98,off,Bryant_697CN030B
1,14,0,90.62,46.5,41.36,18.72,0.0,60.0,60.0,0.0,19.42,22.98,off,Bryant_697CN030B
1,15,0,90.41,46.72,41.24,18.73,0.0,60.0,60.0,0.0,19.59,23.66,off,Bryant_697CN030B
1,16,0,90.2,46.95,41.13,18.74,0.0,60.0,60.0,0.0,19.76,24.34,off,Bryant_697CN030B
1,17,0,89.99,47.18,41.01,18.75,0.0,60.0,60.0,0.0,19.93,25.01,off,Bryant_697CN030B
1,18,0,90.68,47.4,40.89,18.76,0.0,60.0,60.0,0.0,20.09,25.01,off,Bryant_697CN030B
1,19,0,90.47,47.63,40.77,18.77,0.0,60.0,60.0,0.0,20.26,25.69,off,Bryant_697CN030B
1,20,0,90.26,47.85,40.65,18.78,0.0,60.0,60.0,0.0,20.43,26.36,off,Bryant_697CN030B
1,21,0,90.05,48.08,40.53,18.79,0.0,60.0,60.0,0.0,20.6,27.04,off,Bryant_697CN030B
1,22,0,89.84,48.31,40.42,18.8,0.0,60.0,60.0,0.0,20.77,27.72,off,Bryant_697CN030B
1,23,0,90.54,48.53,40.3,18.81,0.0,60.0,60.0,0.0,20.94,27.72,off,Bryant_697CN030B
1,24,0,90.33,48.76,40.18,18.82,0.0,60.0,60.0,0.0,21.1,28.39,off,Bryant_697CN030B
1,25,0,90.12,48.98,40.06,18.83,0.0,60.0,60.0,0.0,21.27,29.07,off,Bryant_697CN030B
1,26,0,89.91,49.21,39.94,18.84,0.0,60.0,60.0,0.0,21.44,29.74,off,Bryant_697CN030B
1,27,0,90.6,49.44,39.82,18.85,0.0,60.0,60.0,0.0,21.61,29.74,off,Bryant_697CN030B
1,28,0,90.39,49.66,39.71,18.86,0.0,60.0,60.0,0.0,21.78,30.42,off,Bryant_697CN030B
1,29,0,90.18,49.89,39.59,18.87,0.0,60.0,60.0,0.0,21.95,31.1,off,Bryant_697CN030B
1,30,0,89.97,50.11,39.47,18.88,0.0,60.0,60.0,0.0,22.11,31.77,off,Bryant_697CN030B
1,31,0,90.67,50.34,39.35,18.88,0.0,60.0,60.0,0.0,22.1,31.77,off,Bryant_697CN030B
1,32,0,90.46,50.57,39.23,18.89,0.0,60.0,60.0,0.0,22.09,32.45,off,Bryant_697CN030B
1,33,0,90.25,50.79,39.11,18.9,0.0,60.0,60.0,0.0,22.08,33.12,off,Bryant_697CN030B
1,34,0,90.04,51.02,39.0,18.91,0.0,60.0,60.0,0.0,22.07,33.8,off,Bryant_697CN030B
1,35,0,89.83,51.24,38.88,18.92,0.0,60.0,60.0,0.0,22.06,34.48,off,Bryant_697CN030B
