Device,Hour,Min,Weekday,Action,Duration
Dyson_AM09,5,1,0,heat,42
Dyson_AM09,5,43,0,off,13
Dyson_AM09,5,56,0,heat,1
Dyson_AM09,5,57,0,off,17
Dyson_AM09,6,14,0,heat,1
Dyson_AM09,6,15,0,off,17
Dyson_AM09,6,32,0,heat,1
Dyson_AM09,6,33,0,off,17
Dyson_AM09,6,50,0,heat,1
Dyson_AM09,6,51,0,off,17
Dyson_AM09,7,8,0,heat,1
Dyson_AM09,7,9,0,off,17
Dyson_AM09,7,26,0,heat,1
Dyson_AM09,7,27,0,off,17
Dyson_AM09,7,44,0,heat,1
Dyson_AM09,7,45,0,off,18
Dyson_AM09,8,3,0,heat,1
Dyson_AM09,8,4,0,off,17
Dyson_AM09,8,21,0,heat,1
Dyson_AM09,8,22,0,off,17
Dyson_AM09,8,39,0,heat,1
Dyson_AM09,8,40,0,off,17
Dyson_AM09,8,57,0,heat,1
Dyson_AM09,8,58,0,off,17
Dyson_AM09,9,15,0,heat,1
Dyson_AM09,9,16,0,off,17
Dyson_AM09,9,33,0,heat,1
Dyson_AM09,9,34,0,off,17
Dyson_AM09,9,51,0,heat,1
Dyson_AM09,9,52,0,off,17
Dyson_AM09,10,9,0,heat,1
Dyson_AM09,10,10,0,off,17
Dyson_AM09,10,27,0,heat,1
Dyson_AM09,10,28,0,off,18
Dyson_AM09,10,46,0,heat,1
Dyson_AM09,10,47,0,off,17
Dyson_AM09,11,4,0,heat,1
Dyson_AM09,11,5,0,off,17
Dyson_AM09,11,22,0,heat,1
Dyson_AM09,11,23,0,off,17
Dyson_AM09,11,40,0,heat,1
Dyson_AM09,11,41,0,off,17
Dyson_AM09,11,58,0,heat,1
Dyson_AM09,11,59,0,off,17
Dyson_AM09,12,16,0,heat,1
Dyson_AM09,12,17,0,off,17
Dyson_AM09,12,34,0,heat,1
Dyson_AM09,12,35,0,off,17
Dyson_AM09,12,52,0,heat,1
Dyson_AM09,12,53,0,off,18
Dyson_AM09,13,11,0,heat,1
Dyson_AM09,13,12,0,off,17
Dyson_AM09,13,29,0,heat,1
Dyson_AM09,13,30,0,off,17
Dyson_AM09,13,47,0,heat,1
Dyson_AM09,13,48,0,off,17
Dyson_AM09,14,5,0,heat,1
Dyson_AM09,14,6,0,off,17
Dyson_AM09,14,23,0,heat,1
Dyson_AM09,14,24,0,off,17
Dyson_AM09,14,41,0,heat,1
